id,gps_height,longitude,latitude,basin,region,region_code,district_code,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type_group,management,payment,water_quality,quantity,source,waterpoint_type,year_rec,month_rec,age
8813,191,33.13082951,-3.22665421,Lake Victoria,Mwanza,19,4,other,132.0,True,VWC,True,1987,submersible,vwc,pay per bucket,soft,enough,lake,communal standpipe multiple,2011,7,24
62343,874,33.62516779,-8.86101931,Rufiji,Mbeya,12,2,rural,229.0,True,VWC,True,2012,gravity,wug,pay when scheme fails,soft,dry,river,communal standpipe,2011,4,-1
1649,642,32.35815302,-4.96546043,Lake Tanganyika,Tabora,14,3,other,180.0,True,VWC,True,1990,india mark ii,vwc,pay when scheme fails,soft,enough,machine dbh,hand pump,2012,10,22
8822,1010,37.70648416,-4.00583487,Pangani,Kilimanjaro,3,3,other,180.0,True,Water authority,True,2007,submersible,vwc,pay per bucket,salty,insufficient,machine dbh,communal standpipe,2013,3,6
10352,874,33.66386327,-8.98179247,Rufiji,Mbeya,12,2,rural,229.0,False,VWC,False,1976,gravity,wug,pay when scheme fails,soft,enough,river,communal standpipe,2011,4,35
50878,56,33.77857064,-3.06340514,Lake Victoria,Shinyanga,17,2,other,229.0,True,Water authority,False,1972,gravity,private operator,pay monthly,soft,enough,dam,communal standpipe,2012,10,40
15266,861,33.58724528,-9.16743357,Lake Nyasa,Mbeya,12,4,other,132.0,True,VWC,False,1976,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,7,35
51956,1190,38.4236917,-4.6312447,Pangani,Tanga,4,1,other,1.0,True,VWC,True,1974,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,3,37
44099,642,37.12085919,-10.78502855,Ruvuma / Southern Coast,Ruvuma,10,1,other,1.0,True,VWC,False,1992,swn 80,vwc,pay monthly,soft,insufficient,machine dbh,hand pump,2013,2,21
59,56,33.59072198,-3.71955244,Internal,Shinyanga,17,8,other,87.0,True,VWC,True,2000,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe multiple,2012,10,12
51359,181,39.56082776,-9.13206159,Ruvuma / Southern Coast,Lindi,80,13,other,530.0,False,VWC,False,2002,submersible,vwc,unknown,soft,unknown,machine dbh,communal standpipe multiple,2013,1,11
15962,191,33.091564197786525,-2.6205017775686295,Lake Victoria,Mwanza,19,6,other,125.0,True,VWC,True,1985,other,vwc,unknown,unknown,dry,machine dbh,other,2011,8,26
17853,1226,33.06230846,-1.82664599,Lake Victoria,Mwanza,19,1,other,1200.0,True,unknown,True,1999,gravity,vwc,never pay,soft,insufficient,spring,improved spring,2011,8,12
42040,1387,37.55433946,-3.28942377,Pangani,Kilimanjaro,3,4,rural,1.0,True,WUA,True,1970,gravity,wua,never pay,soft,insufficient,spring,communal standpipe,2013,3,43
72243,805,35.99024647,-10.53404797,Rufiji,Ruvuma,10,5,other,250.0,True,WUG,False,1990,swn 80,wug,pay when scheme fails,soft,enough,shallow well,hand pump,2013,2,23
63653,1544,36.61868919,-3.29203785,Pangani,Arusha,2,2,rural,200.0,True,VWC,True,2004,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2013,3,9
26510,56,33.77914543,-3.32682925,Internal,Shinyanga,17,2,other,229.0,True,WUG,False,2011,nira/tanira,wug,other,soft,enough,shallow well,hand pump,2012,10,1
72053,482,30.50096464,-2.59036242,Lake Victoria,Kagera,18,30,other,138.0,True,VWC,False,2000,gravity,vwc,never pay,soft,insufficient,spring,other,2011,8,11
29351,1369,34.25333419,-1.20066603,Lake Victoria,Mara,20,6,other,560.0,True,VWC,True,2011,afridev,vwc,pay monthly,soft,enough,shallow well,hand pump,2012,10,1
51897,1584,34.85944848,-4.97090922,Internal,Singida,13,2,rural,1.0,True,VWC,False,1990,other,vwc,unknown,unknown,dry,shallow well,other,2013,1,23
20376,1609,35.10908924,-8.18809279,Rufiji,Iringa,11,2,other,229.0,True,VWC,True,1985,swn 80,vwc,pay annually,soft,enough,hand dtw,hand pump,2011,3,26
26804,334,36.50348726,-8.55105463,Rufiji,Morogoro,5,4,other,230.0,True,unknown,True,2010,nira/tanira,vwc,pay monthly,soft,enough,shallow well,hand pump,2011,3,1
67303,1070,36.80143513,-3.45135176,Pangani,Arusha,2,2,rural,150.0,True,VWC,True,1988,gravity,vwc,never pay,soft,enough,spring,other,2013,3,25
69780,1286,37.62786033,-3.13469202,Pangani,Kilimanjaro,3,1,other,1.0,True,Company,True,1962,gravity,company,pay monthly,soft,insufficient,spring,communal standpipe,2013,2,51
45374,56,33.24487860139598,-3.491473498386441,Lake Victoria,Mwanza,17,1,other,182.0,False,WUG,False,1975,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,2013,2,38
54665,1624,37.22900273,-3.18441406,Pangani,Kilimanjaro,3,5,other,1.0,True,Water Board,True,2008,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,2013,3,5
39341,1282,30.12795597,-4.24867926,Lake Tanganyika,Kigoma,16,2,other,950.0,True,Water authority,False,1978,submersible,vwc,other,soft,enough,machine dbh,communal standpipe multiple,2013,2,35
8869,462,37.45782761,-11.20866259,Ruvuma / Southern Coast,Ruvuma,10,1,other,1.0,True,VWC,False,1986,gravity,vwc,pay monthly,soft,enough,river,communal standpipe,2013,2,27
20691,349,33.16618409,-8.942157,Lake Rukwa,Mbeya,12,6,other,30.0,True,VWC,False,2006,nira/tanira,vwc,pay when scheme fails,soft,insufficient,shallow well,hand pump,2011,4,5
19693,1571,35.52646919,-4.48085439,Internal,Manyara,21,2,other,221.0,True,VWC,True,2008,gravity,vwc,never pay,soft,dry,spring,communal standpipe,2013,2,5
14321,1546,31.9968789,-8.80386259,Lake Rukwa,Rukwa,15,2,rural,50.0,True,VWC,False,1985,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,2011,8,26
63059,56,33.51920554,-3.13524663,Lake Victoria,Shinyanga,17,2,other,229.0,True,WUG,False,2010,gravity,wug,pay per bucket,soft,insufficient,machine dbh,communal standpipe multiple,2013,2,3
67403,545,39.05964828,-5.28936932,Pangani,Tanga,4,3,other,25.0,True,VWC,False,2009,gravity,vwc,never pay,soft,insufficient,machine dbh,communal standpipe multiple,2011,3,2
28912,1133,37.22600343,-3.27103862,Pangani,Kilimanjaro,3,5,other,125.0,True,Water Board,True,2008,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,2013,3,5
12549,349,35.56741628,-6.33698054,Internal,Dodoma,1,6,other,125.0,True,VWC,True,1967,mono,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,2011,3,44
24328,900,37.59031748,-3.7304578,Pangani,Kilimanjaro,3,2,other,80.0,True,Water Board,True,1972,gravity,water board,pay monthly,soft,insufficient,spring,other,2013,3,41
13750,861,32.0400396,-4.99156819,Lake Tanganyika,Tabora,14,4,other,132.0,True,VWC,True,1983,afridev,vwc,never pay,soft,enough,shallow well,hand pump,2012,10,29
1574,1237,38.46742948,-4.8647269,Pangani,Tanga,4,1,other,1.0,True,VWC,True,1969,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,3,42
44149,727,31.36783688,-1.06107072,Lake Victoria,Kagera,18,7,other,99.0,True,VWC,True,2008,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,2011,7,3
53917,743,31.12892305,-1.69420356,Lake Victoria,Kagera,18,1,other,182.0,True,WUA,True,2008,gravity,vwc,pay annually,soft,enough,spring,communal standpipe,2011,7,3
22705,1388,36.88065592,-3.31430939,Pangani,Arusha,2,7,other,98.0,True,VWC,True,2007,gravity,vwc,unknown,soft,insufficient,spring,communal standpipe,2013,6,6
66465,56,32.05069828,-3.41259554,Lake Tanganyika,Shinyanga,17,5,other,157.0,True,Parastatal,True,2009,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,communal standpipe,2012,10,3
15644,874,31.83376051,-1.11325712,Lake Victoria,Kagera,18,2,rural,229.0,True,VWC,True,2008,gravity,vwc,never pay,soft,insufficient,rainwater harvesting,communal standpipe,2011,7,3
20773,743,35.82452906,-5.30269309,Internal,Dodoma,1,1,other,182.0,True,VWC,False,2009,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe,2011,3,2
33092,774,36.96288481,-7.59517464,Rufiji,Morogoro,5,1,other,300.0,False,Other,True,2008,gravity,other,never pay,soft,enough,spring,communal standpipe,2011,3,3
54392,677,37.47908238,-3.81858443,Pangani,Kilimanjaro,3,2,other,320.0,True,Private operator,False,2012,other motorpump,private operator,pay annually,unknown,enough,dam,communal standpipe,2013,2,1
37850,105,38.90647215,-6.74295268,Wami / Ruvu,Pwani,6,2,other,1.0,True,Water authority,True,2010,mono,vwc,pay per bucket,soft,enough,river,communal standpipe multiple,2011,3,1
5576,1764,35.77193117,-8.02782346,Rufiji,Iringa,11,7,other,1.0,True,VWC,True,2008,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,2011,2,3
60840,1182,35.87050076,-4.13979616,Internal,Manyara,21,1,other,72.0,True,VWC,True,1998,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2013,2,15
9971,1116,31.24387308,-6.37911714,Lake Rukwa,Rukwa,15,1,other,70.0,False,Water authority,True,1972,gravity,water authority,never pay,soft,enough,spring,communal standpipe,2011,7,39
57508,875,36.64437721,-6.81836802,Wami / Ruvu,Morogoro,5,1,other,350.0,True,VWC,True,1996,nira/tanira,vwc,pay when scheme fails,soft,insufficient,shallow well,hand pump,2011,3,15
25872,743,32.99693009,-4.19322784,Internal,Tabora,14,1,other,182.0,False,VWC,False,2005,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2012,10,7
43978,2116,33.98504961,-8.9881064,Rufiji,Iringa,11,3,other,180.0,True,VWC,False,1974,gravity,vwc,pay when scheme fails,soft,enough,spring,communal standpipe,2011,3,37
38181,2576,33.91513217,-9.19113626,Lake Nyasa,Iringa,11,3,other,180.0,True,VWC,False,1986,gravity,vwc,pay when scheme fails,soft,enough,spring,communal standpipe,2011,3,25
24325,344,37.61832784,-6.13357212,Wami / Ruvu,Morogoro,5,6,other,20.0,True,VWC,True,2006,other,vwc,never pay,soft,enough,shallow well,hand pump,2011,3,5
2724,874,31.53064308,-1.52024104,Lake Victoria,Kagera,18,2,rural,229.0,True,VWC,True,2003,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2011,7,8
34794,1006,31.14227776,-6.61124387,Lake Rukwa,Rukwa,15,1,other,50.0,False,Water authority,True,1978,gravity,water authority,never pay,soft,enough,spring,communal standpipe,2011,7,33
56525,56,32.76916953,-3.90293977,Internal,Shinyanga,17,3,other,180.0,True,VWC,True,2009,gravity,vwc,pay per bucket,soft,enough,spring,communal standpipe multiple,2012,10,3
63155,642,31.6075471,-1.76796453,Lake Victoria,Kagera,18,3,other,180.0,True,VWC,True,1980,submersible,vwc,never pay,soft,enough,spring,communal standpipe,2011,7,31
67247,1633,37.57594115,-7.08503792,Wami / Ruvu,Morogoro,5,6,other,60.0,True,VWC,True,2004,gravity,vwc,pay per bucket,soft,enough,river,communal standpipe,2011,3,7
23387,24,38.91481877,-8.78594686,Ruvuma / Southern Coast,Lindi,80,13,other,390.0,True,unknown,True,2011,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2013,1,2
17873,56,32.30554915,-3.50805245,Lake Tanganyika,Shinyanga,17,5,other,157.0,False,unknown,False,1998,other,unknown,unknown,unknown,unknown,unknown,hand pump,2012,10,14
18197,1569,34.97643178,-8.82935561,Rufiji,Iringa,11,4,other,40.0,True,VWC,False,2009,nira/tanira,vwc,never pay,soft,enough,hand dtw,hand pump,2011,6,2
24834,1610,30.03071578,-4.43392653,Lake Tanganyika,Kigoma,16,2,other,650.0,True,Water authority,True,1999,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,2013,2,14
4091,1504,38.24442402,-4.4588915,Pangani,Tanga,4,1,other,1.0,True,VWC,True,1971,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,3,40
33261,861,33.81466822,-9.26881883,Lake Nyasa,Mbeya,12,4,other,132.0,True,VWC,False,1985,gravity,vwc,unknown,soft,unknown,spring,communal standpipe,2011,4,26
44384,1721,35.02234242,-4.18404892,Internal,Manyara,21,3,other,192.0,True,VWC,True,1994,submersible,vwc,pay per bucket,soft,enough,machine dbh,communal standpipe,2013,2,19
62096,349,32.94718642,-4.99483567,Lake Tanganyika,Tabora,14,6,urban,125.0,False,VWC,True,1975,other,vwc,never pay,soft,dry,shallow well,other,2012,12,37
64554,78,39.08342696,-7.0035038,Wami / Ruvu,Dar es Salaam,7,2,other,250.0,False,Private operator,False,2010,submersible,private operator,pay per bucket,soft,enough,hand dtw,communal standpipe,2013,3,3
68314,1620,35.56771838,-7.94158325,Rufiji,Iringa,11,1,rural,1.0,True,VWC,True,1982,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,3,29
53,1414,36.67432678,-3.35742512,Pangani,Arusha,2,2,rural,200.0,True,VWC,True,2000,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,2013,4,13
23426,861,33.91187132,-9.34663784,Lake Nyasa,Mbeya,12,4,other,88.0,True,VWC,False,2000,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,4,11
38259,1982,31.63874388,-8.11393053,Lake Tanganyika,Rukwa,15,4,urban,802.0,True,VWC,True,1984,gravity,vwc,never pay,soft,dry,river,communal standpipe,2013,1,29
16631,876,36.00884449,-10.73030401,Ruvuma / Southern Coast,Ruvuma,10,5,other,200.0,True,WUG,False,1998,swn 80,wug,pay monthly,soft,insufficient,shallow well,hand pump,2013,3,15
43162,1623,34.85774806,-4.96565066,Internal,Singida,13,2,rural,25.0,True,Company,False,2000,submersible,company,never pay,soft,insufficient,machine dbh,communal standpipe,2013,1,13
44492,874,31.45209393,-1.45098903,Lake Victoria,Kagera,18,2,rural,229.0,True,VWC,True,1981,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,2011,7,30
38884,56,33.66932264,-3.66413309,Internal,Shinyanga,17,8,other,87.0,False,VWC,False,1995,gravity,vwc,unknown,soft,insufficient,river,communal standpipe multiple,2012,10,17
13690,472,37.75333011,-6.91532531,Wami / Ruvu,Morogoro,5,2,rural,250.0,True,VWC,True,2004,gravity,vwc,pay monthly,soft,enough,river,communal standpipe,2011,3,7
60335,1639,37.47825262,-3.2671678,Pangani,Kilimanjaro,3,4,rural,70.0,False,Other,True,1972,gravity,other,never pay,soft,enough,river,communal standpipe,2013,3,41
31856,56,32.12395834,-4.21150952,Lake Tanganyika,Shinyanga,17,3,other,180.0,True,unknown,True,1993,nira/tanira,wug,unknown,soft,insufficient,shallow well,hand pump,2012,10,19
67891,173,38.35640398,-6.64287516,Wami / Ruvu,Pwani,6,1,other,150.0,True,WUA,True,2010,submersible,wua,pay per bucket,soft,enough,river,communal standpipe,2011,3,1
25564,697,34.6675289,-10.44890839,Lake Nyasa,Iringa,11,5,other,60.0,True,VWC,False,1984,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,3,27
55293,1989,34.23757868,-9.38027549,Lake Nyasa,Iringa,11,3,other,180.0,True,VWC,False,1984,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,2,27
31866,1093,37.27313434,-3.28468532,Pangani,Kilimanjaro,3,4,rural,20.0,True,Water Board,True,2007,gravity,water board,pay per bucket,soft,enough,river,communal standpipe,2013,3,6
71178,349,32.88527532,-8.98348456,Lake Rukwa,Mbeya,12,6,other,125.0,True,VWC,False,1972,nira/tanira,vwc,pay when scheme fails,soft,enough,shallow well,hand pump,2011,7,39
60279,2012,34.740896,-9.39969423,Rufiji,Iringa,11,4,other,80.0,True,VWC,True,2002,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2011,3,9
28615,1274,34.98990302,-10.94025521,Lake Nyasa,Ruvuma,10,3,other,260.0,True,Water Board,True,2002,gravity,water board,pay monthly,soft,enough,spring,communal standpipe,2013,3,11
8744,2132,34.21215284,-9.45018053,Lake Nyasa,Iringa,11,3,other,180.0,True,VWC,False,2002,gravity,vwc,pay monthly,soft,enough,spring,communal standpipe,2011,3,9
48308,56,32.75733701,-3.94044709,Lake Tanganyika,Shinyanga,17,3,other,180.0,True,VWC,True,1978,gravity,vwc,pay per bucket,soft,enough,spring,communal standpipe multiple,2012,10,34
49626,1287,33.86144433,-1.98006878,Lake Victoria,Mara,20,4,other,200.0,True,WUA,True,1972,gravity,wua,unknown,soft,dry,lake,communal standpipe multiple,2012,11,40
38098,1306,36.89963137,-3.11331959,Internal,Arusha,2,7,other,250.0,True,VWC,True,2010,gravity,wua,unknown,soft,insufficient,spring,communal standpipe,2013,10,3
30309,1339,34.07442773,-2.99369841,Lake Victoria,Shinyanga,17,1,other,250.0,True,WUG,False,1998,nira/tanira,wug,never pay,soft,enough,shallow well,hand pump,2013,1,15
8015,191,32.92057868,-2.47456022,Lake Victoria,Mwanza,19,8,other,498.0,True,Private operator,True,2011,nira/tanira,private operator,never pay,salty,enough,shallow well,hand pump,2011,7,0
3496,377,37.21538421,-6.51840064,Wami / Ruvu,Morogoro,5,1,other,189.0,True,VWC,True,2005,submersible,vwc,never pay,salty,enough,machine dbh,communal standpipe,2011,4,6
56971,1193,38.48246991,-4.6185188,Pangani,Tanga,4,1,other,1.0,True,VWC,True,2010,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,2011,3,1
68616,191,33.091564197786525,-2.6205017775686295,Lake Victoria,Mwanza,19,6,other,125.0,True,VWC,True,2009,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,2011,7,2
8646,1042,35.7588964,-10.5153101,Lake Nyasa,Ruvuma,10,5,other,180.0,True,WUG,False,1983,swn 80,wug,pay when scheme fails,soft,insufficient,shallow well,hand pump,2013,2,30
74104,861,35.84163553,-6.77170227,Rufiji,Dodoma,1,4,other,132.0,True,VWC,True,1972,mono,vwc,unknown,soft,insufficient,machine dbh,communal standpipe multiple,2011,3,39
37501,720,39.24118301,-10.87948265,Ruvuma / Southern Coast,Mtwara,90,33,other,850.0,True,VWC,False,1996,gravity,vwc,pay per bucket,soft,insufficient,spring,communal standpipe,2013,1,17
33001,743,33.18150167,-4.20028394,Internal,Tabora,14,1,other,182.0,False,Water authority,True,1985,submersible,water authority,never pay,coloured,insufficient,dam,communal standpipe,2012,10,27
69202,1682,37.58743816,-3.21965387,Pangani,Kilimanjaro,3,1,other,1.0,True,Company,True,2000,gravity,company,pay monthly,soft,enough,spring,communal standpipe,2013,2,13
68409,942,37.15330819,-3.33484802,Pangani,Kilimanjaro,3,5,other,50.0,True,Water Board,True,1999,gravity,water board,pay per bucket,soft,enough,spring,communal standpipe,2013,3,14
51847,861,36.15989877,-5.56955781,Wami / Ruvu,Dodoma,1,4,other,132.0,True,VWC,True,2010,mono,vwc,unknown,soft,dry,machine dbh,communal standpipe multiple,2011,3,1
55647,56,32.97098153,-3.73365859,Internal,Shinyanga,17,3,rural,180.0,True,WUG,True,2008,swn 80,wug,never pay,soft,dry,shallow well,hand pump,2012,10,4
17923,1171,33.09373422,-2.03466061,Lake Victoria,Mwanza,19,1,other,350.0,True,unknown,True,1990,swn 80,vwc,never pay,coloured,seasonal,shallow well,hand pump,2011,7,21
71743,110,38.86003518,-6.7832854000000005,Wami / Ruvu,Pwani,6,2,other,100.0,True,Parastatal,True,1986,mono,vwc,pay per bucket,soft,dry,river,other,2011,2,25
51539,56,33.24487860139598,-3.491473498386441,Lake Victoria,Shinyanga,17,1,other,182.0,False,WUG,False,1977,nira/tanira,wug,unknown,soft,enough,shallow well,hand pump,2013,2,36
